<<<<<<< HEAD
1.029580958336748751e-02
7.823933025636721841e-03
6.595019319462848244e-03
6.546305317381391660e-03
6.384055811303408594e-03
6.354799765002786330e-03
6.447565366206593415e-03
6.398860749254463298e-03
6.354997914476165181e-03
6.317646725726165473e-03
6.337473041483272264e-03
6.339335866856237595e-03
6.315893942990128199e-03
6.356578927089902124e-03
6.362108334917078445e-03
6.376477302103560237e-03
6.387085757049282449e-03
6.374241774145438834e-03
6.427433591007980160e-03
6.392435652898337088e-03
6.430834108941788606e-03
6.474816897285392246e-03
6.461743455902460576e-03
6.432725490826508158e-03
6.470162731891260927e-03
6.481559694566948679e-03
6.452485976876525843e-03
6.479455139290120520e-03
6.488847588975550466e-03
6.479866381649755994e-03
=======
1.762229311471821130e-02
1.753775718368907888e-02
1.738561949679726104e-02
1.733577433896271378e-02
1.743531366832777943e-02
1.743302858101819161e-02
1.744972854059765113e-02
1.756376065074995163e-02
1.757227502094480323e-02
1.757297354741946954e-02
1.764124652609010135e-02
1.743059648774058709e-02
1.788114078561026804e-02
1.772578697450171922e-02
1.768612788085836135e-02
1.767591787959410521e-02
1.764409656750551975e-02
1.777865440759253055e-02
1.774610733564982445e-02
1.767568420323775702e-02
1.765470164190914917e-02
1.768917821620065445e-02
1.771554954352594358e-02
1.784975650417839829e-02
1.774658925170009144e-02
1.771021705778680344e-02
1.771006547851165791e-02
1.771086449921937395e-02
1.762571827874291272e-02
1.763939963309673481e-02
>>>>>>> 4be240046cc99f382786a95ca27fe52e737fe6cd
