Data from USB2H106901__1__16-30-19-843.txt Node

Date: Thu Aug 19 16:30:19 EDT 2021
User: Kepler400
Spectrometer: USB2+H10690
Trigger mode: 0
Integration Time (sec): 1.000000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
185.398	-90.84
185.864	-90.84
186.33	-90.84
186.797	-55.73
187.263	-55.73
187.729	-88.5
188.195	-65.1
188.661	-72.12
189.127	-144.67
189.594	-48.71
190.06	-104.89
190.526	-67.44
190.991	19.16
191.457	5.12
191.923	23.84
192.389	-44.03
192.855	33.21
193.32	61.29
193.786	136.19
194.252	47.25
194.717	96.4
195.183	124.49
195.648	131.51
196.114	122.15
196.579	161.94
197.045	241.51
197.51	197.04
197.975	185.34
198.44	225.13
198.906	218.11
199.371	192.36
199.836	248.54
200.301	253.22
200.766	262.58
201.231	344.5
201.696	293.01
202.161	246.2
202.626	229.81
203.091	243.85
203.555	222.79
204.02	285.98
204.485	278.96
204.949	211.09
205.414	281.3
205.879	243.85
206.343	297.69
206.808	271.94
207.272	295.35
207.736	288.32
208.201	222.79
208.665	232.15
209.129	267.26
209.593	213.43
210.058	257.9
210.522	201.72
210.986	283.64
211.45	215.77
211.914	225.13
212.378	262.58
212.842	250.88
213.306	225.13
213.769	168.96
214.233	290.67
214.697	239.17
215.161	213.43
215.624	255.56
216.088	168.96
216.552	185.34
217.015	236.83
217.479	136.19
217.942	283.64
218.405	166.62
218.869	234.49
219.332	199.38
219.795	164.28
220.259	295.35
220.722	239.17
221.185	257.9
221.648	213.43
222.111	183
222.574	225.13
223.037	274.28
223.5	285.98
223.963	206.41
224.426	178.32
224.888	257.9
225.351	206.41
225.814	187.68
226.276	171.3
226.739	225.13
227.202	185.34
227.664	248.54
228.127	185.34
228.589	187.68
229.052	241.51
229.514	225.13
229.976	232.15
230.438	255.56
230.901	255.56
231.363	206.41
231.825	206.41
232.287	225.13
232.749	232.15
233.211	234.49
233.673	201.72
234.135	161.94
234.597	232.15
235.059	253.22
235.52	267.26
235.982	246.2
236.444	222.79
236.906	126.83
237.367	239.17
237.829	180.66
238.29	248.54
238.752	175.98
239.213	173.64
239.675	201.72
240.136	246.2
240.597	194.7
241.058	201.72
241.52	225.13
241.981	283.64
242.442	253.22
242.903	314.07
243.364	229.81
243.825	201.72
244.286	241.51
244.747	218.11
245.208	290.67
245.669	215.77
246.129	190.02
246.59	208.75
247.051	227.47
247.511	173.64
247.972	206.41
248.433	260.24
248.893	213.43
249.354	194.7
249.814	222.79
250.274	208.75
250.735	239.17
251.195	281.3
251.655	234.49
252.115	241.51
252.576	159.6
253.036	307.05
253.496	302.37
253.956	278.96
254.416	211.09
254.876	246.2
255.336	255.56
255.795	220.45
256.255	152.57
256.715	225.13
257.175	213.43
257.634	278.96
258.094	293.01
258.554	239.17
259.013	255.56
259.473	194.7
259.932	218.11
260.391	180.66
260.851	253.22
261.31	276.62
261.769	173.64
262.229	248.54
262.688	269.6
263.147	222.79
263.606	140.87
264.065	250.88
264.524	206.41
264.983	241.51
265.442	253.22
265.901	220.45
266.36	271.94
266.818	222.79
267.277	269.6
267.736	302.37
268.194	246.2
268.653	211.09
269.112	229.81
269.57	208.75
270.029	236.83
270.487	274.28
270.945	229.81
271.404	204.07
271.862	194.7
272.32	126.83
272.778	250.88
273.237	154.91
273.695	271.94
274.153	229.81
274.611	201.72
275.069	222.79
275.527	239.17
275.985	239.17
276.442	295.35
276.9	232.15
277.358	262.58
277.816	225.13
278.273	229.81
278.731	215.77
279.189	255.56
279.646	246.2
280.103	164.28
280.561	248.54
281.018	236.83
281.476	122.15
281.933	213.43
282.39	222.79
282.847	234.49
283.305	260.24
283.762	243.85
284.219	222.79
284.676	236.83
285.133	187.68
285.59	178.32
286.047	264.92
286.503	288.32
286.96	220.45
287.417	236.83
287.874	262.58
288.33	241.51
288.787	243.85
289.244	250.88
289.7	309.39
290.157	283.64
290.613	250.88
291.069	204.07
291.526	243.85
291.982	180.66
292.438	208.75
292.895	276.62
293.351	185.34
293.807	168.96
294.263	199.38
294.719	183
295.175	236.83
295.631	225.13
296.087	311.73
296.543	257.9
296.998	264.92
297.454	201.72
297.91	236.83
298.366	206.41
298.821	166.62
299.277	243.85
299.732	225.13
300.188	227.47
300.643	248.54
301.099	255.56
301.554	239.17
302.009	234.49
302.464	307.05
302.92	246.2
303.375	239.17
303.83	206.41
304.285	215.77
304.74	285.98
305.195	234.49
305.65	243.85
306.105	220.45
306.56	213.43
307.014	197.04
307.469	220.45
307.924	206.41
308.379	206.41
308.833	241.51
309.288	246.2
309.742	194.7
310.197	206.41
310.651	187.68
311.106	234.49
311.56	229.81
312.014	300.03
312.468	321.09
312.923	269.6
313.377	257.9
313.831	227.47
314.285	175.98
314.739	229.81
315.193	227.47
315.647	215.77
316.101	213.43
316.555	229.81
317.008	288.32
317.462	236.83
317.916	257.9
318.369	180.66
318.823	267.26
319.277	267.26
319.73	248.54
320.184	227.47
320.637	190.02
321.09	290.67
321.544	248.54
321.997	293.01
322.45	241.51
322.903	278.96
323.357	309.39
323.81	295.35
324.263	190.02
324.716	183
325.169	225.13
325.622	218.11
326.074	232.15
326.527	253.22
326.98	372.58
327.433	178.32
327.885	253.22
328.338	239.17
328.791	239.17
329.243	271.94
329.696	199.38
330.148	262.58
330.6	227.47
331.053	276.62
331.505	185.34
331.957	293.01
332.41	225.13
332.862	220.45
333.314	220.45
333.766	257.9
